state,ctl00$ddBuyerType,Case_number,Bid_Submission_Deadline,Address,Bed_Bath,Total_Rooms,SQ_Ft,Year,Property_Design,HOA_Fees,List_Date,Listing_Period,Period_Deadline,List_Price,FHA_Financing,203k_Eligible,Bid_Submission_Time_Remaining,Parking,Foundation,basement,stories,lotsize,image,image 2,image 3,image 4,image 5,image file name,image 2 file name,image 3 file name,image 4 file name,image 5 file name,New Time Deadline,Half,Bed,Bath,Price_Halved,Latitude,Longitude,street_number,route,political,administrative_area_level_2,administrative_area_level_1_long,administrative_area_level_1_short,postal_code,country
PR,Good Neighbor Next Door,501-714797,1/24/2018 11:59:59 PM CT,"7 Ext Manuel Zeno Arecibo, PR, 00616 Arecibo County",3/2.00,7,1115,1973,,$0.00 ,1/18/18,Lottery,1/24/2018 11:59:59 PM CT,31000,IE (Insured Escrow) *,Yes *,5 Days 11 Hours 11 Minutes,Carport (1 space),Slab,,1,3409,C:\scraper\gnnd\fed_files\FRT_57702095.jpg,C:\scraper\gnnd\fed_files\BCK_57702096.jpg,C:\scraper\gnnd\fed_files\KIT_57702097.jpg,C:\scraper\gnnd\fed_files\BTH_57702100.jpg,,FRT_57702095.jpg,BCK_57702096.jpg,KIT_57702097.jpg,BTH_57702100.jpg,#VALUE!,1/24/18,15500,3,2,"15,500",,,,,,,,,,
TX,Good Neighbor Next Door,495-732875,1/23/2018 11:59:59 PM CT,"706 E Crockett St Beeville, TX, 78102 Bee County",4/2.00,7,1439,1970,,$0.00 ,1/17/18,Lottery,1/23/2018 11:59:59 PM CT,71000,IE (Insured Escrow) *,Yes *,4 Days 11 Hours 10 Minutes,Driveway (2 spaces),Slab,,1,7753,C:\scraper\gnnd\fed_files\Photo12_57710976.jpg,C:\scraper\gnnd\fed_files\Photo02_57710977.jpg,C:\scraper\gnnd\fed_files\Photo04_57710978.jpg,C:\scraper\gnnd\fed_files\Photo05_57710979.jpg,C:\scraper\gnnd\fed_files\Photo06_57710981.jpg,Photo12_57710976.jpg,Photo02_57710977.jpg,Photo04_57710978.jpg,Photo05_57710979.jpg,Photo06_57710981.jpg,1/23/18,35500,4,2,"35,500",,,,,,,,,,
TX,Good Neighbor Next Door,513-002677,1/25/2018 11:59:59 PM CT,"510 Koberlin St San Angelo, TX, 76903 Tom Green County",3/2.00,5,1443,1927,,$0.00 ,1/19/18,Lottery,1/25/2018 11:59:59 PM CT,65000,IE (Insured Escrow) *,Yes *,6 Days 11 Hours 10 Minutes,Carport (1 space),CrawlSpace,,1,9500,C:\scraper\gnnd\fed_files\Front_57717206.png,C:\scraper\gnnd\fed_files\BA_57717203.png,C:\scraper\gnnd\fed_files\Din-Kit_57717204.png,C:\scraper\gnnd\fed_files\LR_57717220.png,C:\scraper\gnnd\fed_files\MBD-BA_57717221.png,Front_57717206.png,BA_57717203.png,Din-Kit_57717204.png,LR_57717220.png,MBD-BA_57717221.png,1/25/18,32500,3,2,"32,500",,,,,,,,,,
WA,Good Neighbor Next Door,562-218159,1/22/2018 11:59:59 PM CT,"2522 W Sinto Ave Spokane, WA, 99201 Spokane County",2/1.00,5,864,1954,,$0.00 ,1/16/18,Lottery,1/22/2018 11:59:59 PM CT,53000,UI (Uninsured),Yes,3 Days 11 Hours 10 Minutes,None,Basement,Unfinished,1,6375,C:\scraper\gnnd\fed_files\562-218159_-_Front_4_57631708.jpg,C:\scraper\gnnd\fed_files\562-218159_-_Backyard_57631709.jpg,C:\scraper\gnnd\fed_files\562-218159_-_Bedroom__57631710.jpg,C:\scraper\gnnd\fed_files\562-218159_-_Kitchen_57631719.jpg,C:\scraper\gnnd\fed_files\562-218159_-_Living_Room_2_57631722.jpg,562-218159_-_Front_4_57631708.jpg,562-218159_-_Backyard_57631709.jpg,562-218159_-_Bedroom__57631710.jpg,562-218159_-_Kitchen_57631719.jpg,562-218159_-_Living_Room_2_57631722.jpg,1/22/18,26500,2,1,"26,500",,,,,,,,,,
CT,Good Neighbor Next Door,061-302912,1/24/2018 11:59:59 PM CT,"24 Rosette Street New Haven, CT, 06519 New Haven County",3/2.00,5,1317,2006,,$0.00 ,1/18/18,Lottery,1/24/2018 11:59:59 PM CT,145000,IE (Insured Escrow) *,Yes *,5 Days 11 Hours 9 Minutes,Garage (1 space),Basement,Finished,1,4356,C:\scraper\gnnd\fed_files\061-302912_Front_57702341.jpg,C:\scraper\gnnd\fed_files\061-302912_BR_2_57601324.jpg,C:\scraper\gnnd\fed_files\061-302912_BR_3_57601325.jpg,C:\scraper\gnnd\fed_files\061-302912_BR_4_57601329.jpg,C:\scraper\gnnd\fed_files\061-302912_BR_5_57601330.jpg,061-302912_Front_57702341.jpg,061-302912_BR_2_57601324.jpg,061-302912_BR_3_57601325.jpg,061-302912_BR_4_57601329.jpg,061-302912_BR_5_57601330.jpg,1/24/18,72500,3,2,"72,500",,,,,,,,,,
ID,Good Neighbor Next Door,121-338335,1/19/2018 11:59:59 PM CT,"311 E Lincoln Ave Nampa, ID, 83686 Canyon County",1/1.00,4,882,1940,,$0.00 ,1/13/18,Lottery,1/19/2018 11:59:59 PM CT,102600,IE (Insured Escrow) *,Yes *,0 Days 11 Hours 8 Minutes,Garage (1 space),Slab,,1,4320,C:\scraper\gnnd\fed_files\Photo02_57680974.jpg,C:\scraper\gnnd\fed_files\Photo04_57680976.jpg,C:\scraper\gnnd\fed_files\Photo06_57680977.jpg,C:\scraper\gnnd\fed_files\Photo08_57680978.jpg,C:\scraper\gnnd\fed_files\Photo13_57680979.jpg,Photo02_57680974.jpg,Photo04_57680976.jpg,Photo06_57680977.jpg,Photo08_57680978.jpg,Photo13_57680979.jpg,1/19/18,51300,1,1,"51,300",,,,,,,,,,
IL,Good Neighbor Next Door,137-438258,1/25/2018 11:59:59 PM CT,"164 N Lockwood Ave Chicago, IL, 60644 Cook County",5/2.00,8,1991,1900,,$0.00 ,1/19/18,Lottery,1/25/2018 11:59:59 PM CT,75000,IE (Insured Escrow) *,Yes *,6 Days 11 Hours 8 Minutes,Garage (2 spaces),Basement,Unfinished,2.5,5026,C:\scraper\gnnd\fed_files\1_57086147.jpg,C:\scraper\gnnd\fed_files\2_57086151.jpg,C:\scraper\gnnd\fed_files\3_57086154.jpg,C:\scraper\gnnd\fed_files\4_57086173.jpg,C:\scraper\gnnd\fed_files\5_57086182.jpg,1_57086147.jpg,2_57086151.jpg,3_57086154.jpg,4_57086173.jpg,5_57086182.jpg,1/25/18,37500,5,2,"37,500",,,,,,,,,,
KY,Good Neighbor Next Door,201-552801,1/25/2018 11:59:59 PM CT,"772 Highland Ave Fort Wright, KY, 41011 Kenton County",4/1.00,7,1591,1929,,$0.00 ,1/19/18,Lottery,1/25/2018 11:59:59 PM CT,78000,IE (Insured Escrow) *,Yes *,6 Days 11 Hours 8 Minutes,Garage (1 space),Basement,Unfinished,1,7722,C:\scraper\gnnd\fed_files\201-552801_FRONT_57722231.png,C:\scraper\gnnd\fed_files\201-552801_REAR_57722232.png,C:\scraper\gnnd\fed_files\201-552801_LIVING_57722234.png,C:\scraper\gnnd\fed_files\201-552801_KITCHEN_57722243.png,,201-552801_FRONT_57722231.png,201-552801_REAR_57722232.png,201-552801_LIVING_57722234.png,201-552801_KITCHEN_57722243.png,#VALUE!,1/25/18,39000,4,1,"39,000",,,,,,,,,,
NJ,Good Neighbor Next Door,351-436164,1/22/2018 11:59:59 PM CT,"215 W Mcneal St Millville, NJ, 08332 Cumberland County",3/2.00,6,1316,1890,,$0.00 ,1/16/18,Lottery,1/22/2018 11:59:59 PM CT,25000,IE (Insured Escrow) *,Yes *,3 Days 11 Hours 7 Minutes,Driveway (1 space),Basement,Partial,1,5000,C:\scraper\gnnd\fed_files\351-436164_Front_View_of_Home_57646992.jpg,C:\scraper\gnnd\fed_files\351-436164_2nd_Floor_Landing_57646993.jpg,C:\scraper\gnnd\fed_files\351-436164_Back_Side_View_of_Home_57646994.jpg,C:\scraper\gnnd\fed_files\351-436164_Back_View_of_Home_57647009.jpg,C:\scraper\gnnd\fed_files\351-436164_Back_Yard_57647010.jpg,351-436164_Front_View_of_Home_57646992.jpg,351-436164_2nd_Floor_Landing_57646993.jpg,351-436164_Back_Side_View_of_Home_57646994.jpg,351-436164_Back_View_of_Home_57647009.jpg,351-436164_Back_Yard_57647010.jpg,1/22/18,12500,3,2,"12,500",,,,,,,,,,
NJ,Good Neighbor Next Door,352-660332,1/24/2018 11:59:59 PM CT,"289 South Burnett S East Orange, NJ, 07018 Essex County",6/3.10,12,3188,1925,,$0.00 ,1/18/18,Lottery,1/24/2018 11:59:59 PM CT,195000,IE (Insured Escrow) *,Yes *,5 Days 11 Hours 7 Minutes,Driveway (1 space),Basement,Unfinished,1,7500,C:\scraper\gnnd\fed_files\352-660332_-_Front_57633953.jpg,C:\scraper\gnnd\fed_files\352-660332_-_Back_Yard_57633954.jpg,C:\scraper\gnnd\fed_files\352-660332_-_Bedroom_1a_57633955.jpg,C:\scraper\gnnd\fed_files\352-660332_-_Bedroom_1b_57633966.jpg,C:\scraper\gnnd\fed_files\352-660332_-_Bedroom_2a_57633967.jpg,352-660332_-_Front_57633953.jpg,352-660332_-_Back_Yard_57633954.jpg,352-660332_-_Bedroom_1a_57633955.jpg,352-660332_-_Bedroom_1b_57633966.jpg,352-660332_-_Bedroom_2a_57633967.jpg,1/24/18,97500,6,3.1,"97,500",,,,,,,,,,
OH,Good Neighbor Next Door,413-470053,1/24/2018 11:59:59 PM CT,"1825 Wilson Ave Columbus, OH, 43207 Franklin County",3/1.00,5,825,1953,,$0.00 ,1/18/18,Lottery,1/24/2018 11:59:59 PM CT,22500,IE (Insured Escrow) *,Yes *,5 Days 11 Hours 7 Minutes,Garage (1 space),Basement,Unfinished,1,8450,C:\scraper\gnnd\fed_files\413-470053_frt_57708792.jpg,C:\scraper\gnnd\fed_files\413-470053_bdrm_2_57708793.jpg,C:\scraper\gnnd\fed_files\413-470053_bdrm_57708794.jpg,C:\scraper\gnnd\fed_files\413-470053_bk_57708808.jpg,C:\scraper\gnnd\fed_files\413-470053_ktch_57708809.jpg,413-470053_frt_57708792.jpg,413-470053_bdrm_2_57708793.jpg,413-470053_bdrm_57708794.jpg,413-470053_bk_57708808.jpg,413-470053_ktch_57708809.jpg,1/24/18,11250,3,1,"11,250",,,,,,,,,,