state,ctl00$ddBuyerType,Case_number,Bid_Submission_Deadline,Address,Bed_Bath,Total_Rooms,SQ_Ft,Year,Property_Design,HOA_Fees,List_Date,Listing_Period,Period_Deadline,List_Price,FHA_Financing,203k_Eligible,Bid_Submission_Time_Remaining,Parking,Foundation,basement,stories,lotsize,image,image 2,image 3,image 4,image 5,image file name,image 2 file name,image 3 file name,image 4 file name,image 5 file name,New Time Deadline,Half,Bed,Bath,Price_Halved,Latitude,Longitude,street_number,route,administrative_area_level_2,administrative_area_level_1,short_state,postal_code,country
MD,Good Neighbor Next Door,241-783399,12/10/2017 11:59:59 PM CT,"5933 Daywalt Ave Baltimore, MD, 21206 Baltimore City County",3/1.00,6,1152,1963,,$0.00 ,12/4/17,Lottery,12/10/2017 11:59:59 PM CT,77000,IE (Insured Escrow) *,Yes *,3 Days 20 Hours 13 Minutes,Driveway (1 space),Basement,Unfinished,2,2232,C:\scraper\gnnd\fed_files\241-783399FR_57236929.jpg,C:\scraper\gnnd\fed_files\241-783399BA_57236930.jpg,C:\scraper\gnnd\fed_files\241-783399BR_57236931.jpg,C:\scraper\gnnd\fed_files\241-783399KIT_57236933.jpg,C:\scraper\gnnd\fed_files\241-783399LR_57236934.jpg,241-783399FR_57236929.jpg,241-783399BA_57236930.jpg,241-783399BR_57236931.jpg,241-783399KIT_57236933.jpg,241-783399LR_57236934.jpg,12/10/201,38500,3,1,"38,500",,,,,,,,,
MD,Good Neighbor Next Door,249-300792,12/8/2017 11:59:59 PM CT,"5611 Larson Ct #15 Capitol Heights, MD, 20743 Prince Georges County",2/1.00,5,1281,1990,,$0.00 ,12/2/17,Lottery,12/8/2017 11:59:59 PM CT,79000,IE (Insured Escrow) *,Yes *,1 Days 20 Hours 13 Minutes,Driveway (1 space),Slab,,1,0,C:\scraper\gnnd\fed_files\249-300792FR_57229352.jpg,C:\scraper\gnnd\fed_files\249-300792BA_57229353.jpg,C:\scraper\gnnd\fed_files\249-300792BR_57229354.jpg,C:\scraper\gnnd\fed_files\249-300792KIT_57229359.jpg,C:\scraper\gnnd\fed_files\249-300792LR_57229360.jpg,249-300792FR_57229352.jpg,249-300792BA_57229353.jpg,249-300792BR_57229354.jpg,249-300792KIT_57229359.jpg,249-300792LR_57229360.jpg,12/8/17,39500,2,1,"39,500",,,,,,,,,
MD,Good Neighbor Next Door,249-554798,12/7/2017 11:59:59 PM CT,"2337 Scott Key Driv District Heights, MD, 20747 Prince Georges County",3/2.00,6,1080,1965,,$0.00 ,12/1/17,Lottery,12/7/2017 11:59:59 PM CT,190000,IE (Insured Escrow) *,Yes *,0 Days 20 Hours 13 Minutes,Driveway (1 space),Basement,Unfinished,1,6880,C:\scraper\gnnd\fed_files\249-554798FR_57214648.jpg,C:\scraper\gnnd\fed_files\249-554798BA_57214649.jpg,C:\scraper\gnnd\fed_files\249-554798BR_57214650.jpg,C:\scraper\gnnd\fed_files\249-554798KIT_57214658.jpg,C:\scraper\gnnd\fed_files\249-554798LR_57214659.jpg,249-554798FR_57214648.jpg,249-554798BA_57214649.jpg,249-554798BR_57214650.jpg,249-554798KIT_57214658.jpg,249-554798LR_57214659.jpg,12/7/17,95000,3,2,"95,000",,,,,,,,,
MD,Good Neighbor Next Door,249-613120,12/13/2017 11:59:59 PM CT,"6322 Walbridge St Capitol Heights, MD, 20743 Prince Georges County",3/2.10,6,1672,2013,,$0.00 ,12/7/17,Lottery,12/13/2017 11:59:59 PM CT,285000,IN (Insured) *,Yes *,6 Days 20 Hours 13 Minutes,Garage (2 spaces),Basement,Finished,2,2200,C:\scraper\gnnd\fed_files\249-613120FR_57272941.jpg,C:\scraper\gnnd\fed_files\249-613120BA_57272942.jpg,C:\scraper\gnnd\fed_files\249-613120BR_57272943.jpg,C:\scraper\gnnd\fed_files\249-613120KIT_57272953.jpg,C:\scraper\gnnd\fed_files\249-613120LR_57272954.jpg,249-613120FR_57272941.jpg,249-613120BA_57272942.jpg,249-613120BR_57272943.jpg,249-613120KIT_57272953.jpg,249-613120LR_57272954.jpg,12/13/201,142500,3,2.1,"142,500",,,,,,,,,
PA,Good Neighbor Next Door,441-820985,12/12/2017 11:59:59 PM CT,"126 S 5th Ave Coatesville, PA, 19320 Chester County",3/1.10,6,1756,1900,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,38000,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 13 Minutes,None,Basement,Unfinished,2.5,4622,C:\scraper\gnnd\fed_files\441-820985FR_57263750.jpg,C:\scraper\gnnd\fed_files\441-820985BA_57263751.jpg,C:\scraper\gnnd\fed_files\441-820985BR_57263752.jpg,C:\scraper\gnnd\fed_files\441-820985INT_57263768.jpg,C:\scraper\gnnd\fed_files\441-820985KIT_57263769.jpg,441-820985FR_57263750.jpg,441-820985BA_57263751.jpg,441-820985BR_57263752.jpg,441-820985INT_57263768.jpg,441-820985KIT_57263769.jpg,12/12/201,19000,3,1.1,"19,000",,,,,,,,,
PR,Good Neighbor Next Door,501-665694,12/11/2017 11:59:59 PM CT,"I-14 4 St. Jardines Canovanas, PR, 00729 Canovanas County",3/2.00,6,928,1970,,$0.00 ,12/5/17,Lottery,12/11/2017 11:59:59 PM CT,82000,IE (Insured Escrow) *,Yes *,4 Days 20 Hours 12 Minutes,Carport (2 spaces),Slab,,1,3283,C:\scraper\gnnd\fed_files\FRT_57240797.jpg,C:\scraper\gnnd\fed_files\BCK_57240798.jpg,C:\scraper\gnnd\fed_files\KIT_57240799.jpg,C:\scraper\gnnd\fed_files\BTH_57240804.jpg,,FRT_57240797.jpg,BCK_57240798.jpg,KIT_57240799.jpg,BTH_57240804.jpg,#VALUE!,12/11/201,41000,3,2,"41,000",,,,,,,,,
SD,Good Neighbor Next Door,463-025079,12/7/2017 11:59:59 PM CT,"709 1/2 11th St Rapid City, SD, 57701 Pennington County",2/1.10,6,1759,1934,,$0.00 ,12/1/17,Lottery,12/7/2017 11:59:59 PM CT,100600,UI (Uninsured),Yes,0 Days 20 Hours 12 Minutes,Garage (1 space),CrawlSpace,,2,2668,C:\scraper\gnnd\fed_files\Photo01_57245774.jpg,C:\scraper\gnnd\fed_files\Photo03_57245776.jpg,C:\scraper\gnnd\fed_files\Photo05_57245777.jpg,C:\scraper\gnnd\fed_files\Photo06_57245778.jpg,C:\scraper\gnnd\fed_files\Photo07_57245779.jpg,Photo01_57245774.jpg,Photo03_57245776.jpg,Photo05_57245777.jpg,Photo06_57245778.jpg,Photo07_57245779.jpg,12/7/17,50300,2,1.1,"50,300",,,,,,,,,
TN,Good Neighbor Next Door,481-333504,12/11/2017 11:59:59 PM CT,"1349 E Moody Ave Knoxville, TN, 37920 Knox County",2/1.00,4,894,1952,,$0.00 ,12/5/17,Lottery,12/11/2017 11:59:59 PM CT,47950,IN (Insured),No,4 Days 20 Hours 12 Minutes,Garage (2 spaces),Basement,Partial,1,10802,C:\scraper\gnnd\fed_files\P1240968_57134158.jpg,C:\scraper\gnnd\fed_files\P1240972_57134232.jpg,C:\scraper\gnnd\fed_files\P1240984_57134255.jpg,C:\scraper\gnnd\fed_files\P1240977_57134290.jpg,C:\scraper\gnnd\fed_files\P1240978_57134309.jpg,P1240968_57134158.jpg,P1240972_57134232.jpg,P1240984_57134255.jpg,P1240977_57134290.jpg,P1240978_57134309.jpg,12/11/201,23975,2,1,"23,975",,,,,,,,,
TX,Good Neighbor Next Door,511-141654,12/12/2017 11:59:59 PM CT,"9227 Brooke Lane Quinlan, TX, 75474 Hunt County",4/3.00,7,2016,2005,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,124500,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 12 Minutes,Driveway (2 spaces),CrawlSpace,,1,1.88 acres,C:\scraper\gnnd\fed_files\Front_57267235.png,C:\scraper\gnnd\fed_files\Kit-DR_57267237.png,C:\scraper\gnnd\fed_files\Kit_57267236.png,C:\scraper\gnnd\fed_files\LR_57267251.png,C:\scraper\gnnd\fed_files\MBA_57267252.png,Front_57267235.png,Kit-DR_57267237.png,Kit_57267236.png,LR_57267251.png,MBA_57267252.png,12/12/201,62250,4,3,"62,250",,,,,,,,,
VA,Good Neighbor Next Door,541-813321,12/8/2017 11:59:59 PM CT,"2720 Belt Boulevard Richmond, VA, 23234 Richmond City County",3/2.00,7,1553,2006,,$0.00 ,12/2/17,Lottery,12/8/2017 11:59:59 PM CT,67000,IN (Insured) *,Yes *,1 Days 20 Hours 12 Minutes,Driveway (2 spaces),Slab,,2,11761,C:\scraper\gnnd\fed_files\541-813321FR_57226198.jpg,C:\scraper\gnnd\fed_files\541-813321BA_57226199.jpg,C:\scraper\gnnd\fed_files\541-813321BR_57226200.jpg,C:\scraper\gnnd\fed_files\541-813321KIT_57226209.jpg,C:\scraper\gnnd\fed_files\541-813321REAR_57226210.jpg,541-813321FR_57226198.jpg,541-813321BA_57226199.jpg,541-813321BR_57226200.jpg,541-813321KIT_57226209.jpg,541-813321REAR_57226210.jpg,12/8/17,33500,3,2,"33,500",,,,,,,,,
CO,Good Neighbor Next Door,052-454132,12/9/2017 11:59:59 PM CT,"525 Chestnut St Sterling, CO, 80751 Logan County",2/1.00,6,1547,1911,,$0.00 ,12/3/17,Lottery,12/9/2017 11:59:59 PM CT,65000,IE (Insured Escrow) *,Yes *,2 Days 20 Hours 11 Minutes,Driveway (1 space),CrawlSpace,,1,10537,C:\scraper\gnnd\fed_files\Front_57243803.png,C:\scraper\gnnd\fed_files\Kit_57243804.png,C:\scraper\gnnd\fed_files\LR_57243805.png,C:\scraper\gnnd\fed_files\LRv2_57243818.png,C:\scraper\gnnd\fed_files\Nook_57243819.png,Front_57243803.png,Kit_57243804.png,LR_57243805.png,LRv2_57243818.png,Nook_57243819.png,12/9/17,32500,2,1,"32,500",,,,,,,,,
CT,Good Neighbor Next Door,061-323987,12/12/2017 11:59:59 PM CT,"16 Tower Avenue Hartford, CT, 06120 Hartford County",3/1.00,6,1374,1932,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,65000,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 11 Minutes,Carport (1 space),Basement,Unfinished,1,6875,C:\scraper\gnnd\fed_files\061-323987_-_front_6_57201887.jpg,C:\scraper\gnnd\fed_files\061-323987_-_back_2_57201888.jpg,C:\scraper\gnnd\fed_files\061-323987_-_back_3_57201889.jpg,C:\scraper\gnnd\fed_files\061-323987_-_back_57201903.jpg,C:\scraper\gnnd\fed_files\061-323987_-_bedroom_1_2_57201904.jpg,061-323987_-_front_6_57201887.jpg,061-323987_-_back_2_57201888.jpg,061-323987_-_back_3_57201889.jpg,061-323987_-_back_57201903.jpg,061-323987_-_bedroom_1_2_57201904.jpg,12/12/201,32500,3,1,"32,500",,,,,,,,,
IN,Good Neighbor Next Door,151-671156,12/13/2017 11:59:59 PM CT,"136 Delorenzi Ave Mishawaka, IN, 46544 St Joseph County",1/1.00,3,600,1926,,$0.00 ,12/7/17,Lottery,12/13/2017 11:59:59 PM CT,40000,UI (Uninsured),Yes,6 Days 20 Hours 10 Minutes,None,Basement,Partial,1,5120,C:\scraper\gnnd\fed_files\151-671156_FRONT_57273136.png,C:\scraper\gnnd\fed_files\151-671156_REAR_57273137.png,C:\scraper\gnnd\fed_files\151-671156_LIVING_57273138.png,C:\scraper\gnnd\fed_files\151-671156_KITCHEN_57273142.png,,151-671156_FRONT_57273136.png,151-671156_REAR_57273137.png,151-671156_LIVING_57273138.png,151-671156_KITCHEN_57273142.png,#VALUE!,12/13/201,20000,1,1,"20,000",,,,,,,,,
MI,Good Neighbor Next Door,261-887353,12/12/2017 11:59:59 PM CT,"19967 Pinehurst Detroit, MI, 48221 Wayne County",3/1.00,5,998,1950,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,20000,UI (Uninsured),Yes,5 Days 20 Hours 9 Minutes,Carport (1 space),Basement,Partial,1.5,4620,C:\scraper\gnnd\fed_files\261-887353_frt_57255856.jpg,C:\scraper\gnnd\fed_files\261-887353_bdrm_2_57255857.jpg,C:\scraper\gnnd\fed_files\261-887353_bdrm_57255858.jpg,C:\scraper\gnnd\fed_files\261-887353_bk_57255862.jpg,C:\scraper\gnnd\fed_files\261-887353_ktch_57255863.jpg,261-887353_frt_57255856.jpg,261-887353_bdrm_2_57255857.jpg,261-887353_bdrm_57255858.jpg,261-887353_bk_57255862.jpg,261-887353_ktch_57255863.jpg,12/12/201,10000,3,1,"10,000",,,,,,,,,
NC,Good Neighbor Next Door,381-780861,12/12/2017 11:59:59 PM CT,"1112 Ardmore Dr. Greensboro, NC, 27401 Guilford County",3/2.00,5,1193,1964,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,53500,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 9 Minutes,Carport (2 spaces),CrawlSpace,,1,11400,C:\scraper\gnnd\fed_files\Front_view_56982875_57276043.jpg,C:\scraper\gnnd\fed_files\living_room_56982901_57276044.jpg,C:\scraper\gnnd\fed_files\master_bedroom_56982918_57276045.jpg,C:\scraper\gnnd\fed_files\bedroom_2_56982926_57276109.jpg,C:\scraper\gnnd\fed_files\Rear_view_56982883_57276110.jpg,Front_view_56982875_57276043.jpg,living_room_56982901_57276044.jpg,master_bedroom_56982918_57276045.jpg,bedroom_2_56982926_57276109.jpg,Rear_view_56982883_57276110.jpg,12/12/201,26750,3,2,"26,750",,,,,,,,,
NJ,Good Neighbor Next Door,352-561860,12/12/2017 11:59:59 PM CT,"135-137 Johnston Av Plainfield, NJ, 07062 Union County",3/1.10,6,1806,1921,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,110000,UI (Uninsured),Yes,5 Days 20 Hours 8 Minutes,Driveway (1 space),Basement,Partial,1,7550,C:\scraper\gnnd\fed_files\352-561860_-_Front_57203808.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Attic_Room_1_57203809.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Basement_Bonus_Room_a_57203810.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Basement_Kitchen_57203814.jpg,C:\scraper\gnnd\fed_files\352-561860_-_Bedroom_1b_57203815.jpg,352-561860_-_Front_57203808.jpg,352-561860_-_Attic_Room_1_57203809.jpg,352-561860_-_Basement_Bonus_Room_a_57203810.jpg,352-561860_-_Basement_Kitchen_57203814.jpg,352-561860_-_Bedroom_1b_57203815.jpg,12/12/201,55000,3,1.1,"55,000",,,,,,,,,
NM,Good Neighbor Next Door,361-215564,12/9/2017 11:59:59 PM CT,"1601 Pennsylvania St NE Unit I-09 Albuquerque, NM, 87110 Bernalillo County",1/1.00,3,437,1978,,$258.00 Monthly,12/3/17,Lottery,12/9/2017 11:59:59 PM CT,37000,IE (Insured Escrow) *,Yes *,2 Days 20 Hours 8 Minutes,Carport (1 space),Slab,,1,437,C:\scraper\gnnd\fed_files\Front_57249026.png,C:\scraper\gnnd\fed_files\Kit_57249027.png,C:\scraper\gnnd\fed_files\LR_57249028.png,C:\scraper\gnnd\fed_files\Patio_57249062.png,,Front_57249026.png,Kit_57249027.png,LR_57249028.png,Patio_57249062.png,#VALUE!,12/9/17,18500,1,1,"18,500",,,,,,,,,
OH,Good Neighbor Next Door,411-302105,12/7/2017 11:59:59 PM CT,"4220 Winona Ave Dayton, OH, 45405 Montgomery County",2/1.00,5,912,1945,,$0.00 ,12/1/17,Lottery,12/7/2017 11:59:59 PM CT,16000,IE (Insured Escrow) *,Yes *,0 Days 20 Hours 8 Minutes,Garage (1 space),Basement,Partial,1,6503,C:\scraper\gnnd\fed_files\411-302105_frt_57214770.jpg,C:\scraper\gnnd\fed_files\411-302105_bdrm_2_57214771.jpg,C:\scraper\gnnd\fed_files\411-302105_bdrm_57214772.jpg,C:\scraper\gnnd\fed_files\411-302105_bk_57214784.jpg,C:\scraper\gnnd\fed_files\411-302105_dr_57214785.jpg,411-302105_frt_57214770.jpg,411-302105_bdrm_2_57214771.jpg,411-302105_bdrm_57214772.jpg,411-302105_bk_57214784.jpg,411-302105_dr_57214785.jpg,12/7/17,8000,2,1,"8,000",,,,,,,,,
OH,Good Neighbor Next Door,412-671749,12/12/2017 11:59:59 PM CT,"1421 Norwood Pl NW Canton, OH, 44709 Stark County",3/1.00,6,1335,1926,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,27000,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 8 Minutes,Garage (2 spaces),Basement,Unfinished,2,4500,C:\scraper\gnnd\fed_files\412-671749_frt_57262688.jpg,C:\scraper\gnnd\fed_files\412-671749_bdrm_2_57262689.jpg,C:\scraper\gnnd\fed_files\412-671749_bdrm_57262690.jpg,C:\scraper\gnnd\fed_files\412-671749_dr_57262702.jpg,C:\scraper\gnnd\fed_files\412-671749_ktch_57262703.jpg,412-671749_frt_57262688.jpg,412-671749_bdrm_2_57262689.jpg,412-671749_bdrm_57262690.jpg,412-671749_dr_57262702.jpg,412-671749_ktch_57262703.jpg,12/12/201,13500,3,1,"13,500",,,,,,,,,
OH,Good Neighbor Next Door,412-690092,12/12/2017 11:59:59 PM CT,"3758 W 130th St Cleveland, OH, 44111 Cuyahoga County",4/1.00,7,1478,1922,,$0.00 ,12/6/17,Lottery,12/12/2017 11:59:59 PM CT,30000,IE (Insured Escrow) *,Yes *,5 Days 20 Hours 8 Minutes,Driveway (1 space),Basement,Unfinished,1.5,5663,C:\scraper\gnnd\fed_files\412-690092_frt_57272985.jpg,C:\scraper\gnnd\fed_files\412-690092_bdrm_2_57272986.jpg,C:\scraper\gnnd\fed_files\412-690092_bdrm_57272987.jpg,C:\scraper\gnnd\fed_files\412-690092_bk_57272995.jpg,C:\scraper\gnnd\fed_files\412-690092_ktch_57272996.jpg,412-690092_frt_57272985.jpg,412-690092_bdrm_2_57272986.jpg,412-690092_bdrm_57272987.jpg,412-690092_bk_57272995.jpg,412-690092_ktch_57272996.jpg,12/12/201,15000,4,1,"15,000",,,,,,,,,